RaceDate,RaceTime,CourseName,RaceTitle,HorseName,B2LScore,RankBest,IsB2LTarget,Tier,DSLR,StrideDecay,BadDiscipline,GoodSpeed,IsLeader,SpeedWords,BetModes,Signals,ScannedAt
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Lapidarist,4,6,False,Pass,99,0.0,False,True,False,led,,Speed(led),2026-08-21 11:25:53.690000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Strong Man Tom,4,7,False,Pass,99,0.0,False,True,False,pushed along,,Speed(pushed along),2026-08-21 11:25:53.693000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,City Escape,2,8,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.697000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Racing Demon,2,9,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.697000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Prophet Squeeze,-2,10,False,Pass,99,0.0,True,False,False,,,Discipline,2026-08-21 11:25:53.700000
2026-08-21,16:30,Ffos Las,16:30 FFOS LAS,Typeface,-2,11,False,Pass,99,0.0,True,False,False,,,Discipline,2026-08-21 11:25:53.700000
2026-08-21,18:27,Salisbury,18:27 SALISBURY,Bintola,4,1,True,Tier 1 EW,99,0.0,False,True,False,"headway, pushed along","EW,B2L,WIN","Speed(headway, pushed along)",2026-08-21 11:25:53.700000
2026-08-21,18:27,Salisbury,18:27 SALISBURY,Eternal Solace,4,2,True,Tier 1 EW,99,0.0,False,True,False,"led, ran on, headway","EW,B2L,WIN","Speed(led, ran on, headway)",2026-08-21 11:25:53.703000
2026-08-21,18:27,Salisbury,18:27 SALISBURY,Zen Diva,4,3,True,Tier 2 B2L,99,0.0,False,True,False,prominent,"EW,B2L-Consider",Speed(prominent),2026-08-21 11:25:53.707000
2026-08-21,18:27,Salisbury,18:27 SALISBURY,Coyy,2,4,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.710000
2026-08-21,18:27,Salisbury,18:27 SALISBURY,Inca Heights,2,5,False,Pass,99,0.0,False,False,False,,,Form Score,2026-08-21 11:25:53.710000
2026-08-21,18:27,Salisbury,18:27 SALISBURY,Havana Smile,0,6,False,Pass,99,0.0,True,True,False,led,,"Speed(led), Discipline",2026-08-21 11:25:53.710000
2026-08-21,18:27,Salisbury,18:27 SALISBURY,Kohana Nation,0,7,False,Pass,99,0.0,True,True,False,pushed along,,"Speed(pushed along), Discipline",2026-08-21 11:25:53.717000
2026-08-21,19:35,Kilbeggan,19:35 KILBEGGAN,Ad Caelum,4,1,True,Tier 1 EW,99,0.0,False,True,False,"led, pushed along","EW,B2L,WIN","Speed(led, pushed along)",2026-08-21 11:25:53.720000
2026-08-21,19:35,Kilbeggan,19:35 KILBEGGAN,Charlie Luciano,4,2,True,Tier 1 EW,99,0.0,False,True,False,kept on,"EW,B2L,WIN",Speed(kept on),2026-08-21 11:25:53.723000
